sentence,sentiment,topic,processed_ml,processed_phobert
nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin .,0,1,nên kinh_mong nội_dung môn_học được giảm tải cho phù_hợp hơn với đặc_thù của một trường công_nghệ_thông_tin .,nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin .
thầy tận tình vui tính .,2,0,thầy tận_tình vui_tính .,thầy tận tình vui tính .
cô lại kiểu khó tính nữa .,0,0,cô lại kiểu khó_tính nữa .,cô lại kiểu khó tính nữa .
tạo hứng thú cho sinh viên .,2,0,tạo hứng_thú cho sinh_viên .,tạo hứng thú cho sinh viên .
cô giảng hay cuốn hút và truyền đạt dễ hiểu .,2,0,cô giảng hay cuốn_hút và truyền_đạt dễ hiểu .,cô giảng hay cuốn hút và truyền đạt dễ hiểu .
có hứng thú học .,2,0,có hứng thú_học .,có hứng thú học .
ôn tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm .,1,1,ôn_tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm .,ôn tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm .
"giảng viên hướng dẫn cụ thể , chi tiết .",2,0,giảng_viên hướng_dẫn cụ_thể chi_tiết .,"giảng viên hướng dẫn cụ thể , chi tiết ."
giáo trình quá ít và nội dung không khác nhau là mấy .,0,1,giáo_trình quá ít và nội_dung không khác nhau là mấy .,giáo trình quá ít và nội dung không khác nhau là mấy .
"giáo viên nghỉ dạy liên tục , cuối học kỳ lại tăng học bù , những tiết học bù đó đã ảnh hưởng đến những đồ án , và trễ deadline .",0,0,giáo_viên nghỉ dạy liên_tục cuối học_kỳ lại tăng học bù những tiết_học bù đó đã ảnh_hưởng đến những đồ_án và trễ deadline .,"giáo viên nghỉ dạy liên tục , cuối học kỳ lại tăng học bù , những tiết học bù đó đã ảnh hưởng đến những đồ án , và trễ deadline ."
"giáo viên lúc dạy lúc không , không dạy cũng không thông báo , sinh viên tốn thời gian , công sức , tiền bạc rồi ngồi đợi và đi về .",0,0,giáo_viên lúc dạy lúc không không dạy cũng không thông_báo sinh_viên tốn thời_gian công_sức tiền_bạc rồi ngồi đợi và đi về .,"giáo viên lúc dạy lúc không , không dạy cũng không thông báo , sinh viên tốn thời gian , công sức , tiền bạc rồi ngồi đợi và đi về ."
"cần có một phòng máy tốt hơn , hiện đại hơn .",0,2,cần có một phòng máy tốt hơn hiện_đại hơn .,"cần có một phòng máy tốt hơn , hiện đại hơn ."
thầy nên cho làm bài tập tương tự nhau nhiều hơn một vài bài để tránh tình trạng quên hoặc các dạng tựa nhau nhưng hơi khác cách làm .,0,0,thầy nên cho làm bài_tập tương_tự nhau nhiều hơn một_vài bài để tránh tình_trạng quên hoặc các dạng tựa nhau nhưng hơi khác cách làm .,thầy nên cho làm bài tập tương tự nhau nhiều hơn một vài bài để tránh tình trạng quên hoặc các dạng tựa nhau nhưng hơi khác cách làm .
"không ngờ môn này lại chán đến như vậy , không học được gì từ môn này , thầy dạy chán kinh khủng , hay đi trễ từ 30 - 45 phút , không nhiệt tình .",0,0,không ngờ_môn này lại chán đến như_vậy không học được gì từ môn này thầy dạy chán kinh_khủng hay đi trễ từ 30 - 45 phút không nhiệt_tình .,"không ngờ môn này lại chán đến như vậy , không học được gì từ môn này , thầy dạy chán kinh khủng , hay đi trễ từ 30 - 45 phút , không nhiệt tình ."
giảng viên đánh giá sai điểm và năng lực của học sinh .,0,0,giảng_viên đánh_giá sai_điểm và năng_lực của học_sinh .,giảng viên đánh giá sai điểm và năng lực của học sinh .
không đáp ứng được đề cương môn học đề ra .,0,1,không đáp_ứng được đề_cương môn_học đề ra .,không đáp ứng được đề cương môn học đề ra .
thầy nên hướng dẫn thực hành nhiều hơn .,0,0,thầy nên hướng_dẫn thực_hành nhiều hơn .,thầy nên hướng dẫn thực hành nhiều hơn .
"giảng viên thân thiện , quan tâm tới sinh viên .",2,0,giảng_viên thân_thiện quan_tâm tới sinh_viên .,"giảng viên thân thiện , quan tâm tới sinh viên ."
"môn lập trình hướng đối tượng nên cập nhật thêm những nội dung mới , dễ hiểu và giảng giải cụ thể hơn .",0,1,môn lập_trình hướng đối_tượng nên cập_nhật thêm những nội_dung mới dễ hiểu và giảng_giải cụ_thể hơn .,"môn lập trình hướng đối tượng nên cập nhật thêm những nội dung mới , dễ hiểu và giảng giải cụ thể hơn ."
"giáo viên nhiệt tình , tâm huyết , khả năng truyền đạt tốt .",2,0,giáo_viên nhiệt_tình tâm_huyết khả_năng truyền_đạt tốt .,"giáo viên nhiệt tình , tâm huyết , khả năng truyền đạt tốt ."
thầy dạy rất tốt và nhiệt tình .,2,0,thầy dạy rất tốt và nhiệt_tình .,thầy dạy rất tốt và nhiệt tình .
"cô nói hơi nhỏ , nếu lớp ồn sẽ khó nghe .",0,0,cô nói hơi nhỏ nếu lớp ồn sẽ khó nghe .,"cô nói hơi nhỏ , nếu lớp ồn sẽ khó nghe ."
"bài tập cô đưa ra nhiều , và khó tìm hiểu , với kiến thực hiện tại của sinh viên thì khó có thể tìm hiểu và làm tốt bài tập cô ra .",0,0,bài_tập cô đưa ra nhiều và khó tìm_hiểu với kiến thực_hiện tại của sinh_viên thì khó có_thể tìm_hiểu và làm tốt bài_tập cô ra .,"bài tập cô đưa ra nhiều , và khó tìm hiểu , với kiến thực hiện tại của sinh viên thì khó có thể tìm hiểu và làm tốt bài tập cô ra ."
bài tập và hoạt động nhóm còn ít .,0,1,bài_tập và hoạt_động nhóm còn ít .,bài tập và hoạt động nhóm còn ít .
"giảng viên rất nhiệt tình , phương pháp giảng dạy hay , sinh viên nắm bắt kiến thức ngay trên lớp .",2,0,giảng_viên rất nhiệt_tình phương_pháp giảng_dạy hay sinh_viên nắm_bắt kiến_thức ngay trên lớp .,"giảng viên rất nhiệt tình , phương pháp giảng dạy hay , sinh viên nắm bắt kiến thức ngay trên lớp ."
cô hướng dẫn thực hành khá đầy đủ .,2,0,cô hướng_dẫn thực_hành khá đầy_đủ .,cô hướng dẫn thực hành khá đầy đủ .
được học nhiều kinh nghiệm từ thầy wzjwz163 .,2,0,được học nhiều kinh_nghiệm từ thầy wzjwz163 .,được học nhiều kinh nghiệm từ thầy wzjwz163 .
"kiến thức của thầy rất tốt , bảo đảm giờ lên lớp .",2,0,kiến_thức của thầy rất tốt bảo_đảm giờ lên_lớp .,"kiến thức của thầy rất tốt , bảo đảm giờ lên lớp ."
hiện tại em chưa thấy tác dụng gì nhiều khi học môn này .,0,1,hiện_tại em chưa thấy tác_dụng gì nhiều khi học môn này .,hiện tại em chưa thấy tác dụng gì nhiều khi học môn này .
cải thiện lại cơ sở vật chất máy chiếu trong phòng học .,0,2,cải_thiện lại cơ_sở_vật_chất máy_chiếu trong phòng học .,cải thiện lại cơ sở vật chất máy chiếu trong phòng học .
dạy không phù hợp với cách học của em .,0,0,dạy không phù_hợp với cách học của em .,dạy không phù hợp với cách học của em .
giải thích nội dung mới rõ ràng .,2,0,giải_thích nội_dung mới rõ_ràng .,giải thích nội dung mới rõ ràng .
lớp học quá đông !,0,1,lớp_học quá đông !,lớp học quá đông !
"môn căn bản mà thầy không dạy cho sinh viên kỹ , gây không hiểu , mất căn bản .",0,1,môn căn_bản mà thầy không dạy cho sinh_viên kỹ gây không hiểu mất căn_bản .,"môn căn bản mà thầy không dạy cho sinh viên kỹ , gây không hiểu , mất căn bản ."
"giảng viên chưa cho bài tập về nhà để sinh viên làm nên cho 5 bài mỗi chương , không cần chữa chỉ cần đáp án .",0,0,giảng_viên chưa cho bài_tập về nhà để sinh_viên làm_nên cho 5 bài mỗi chương không cần chữa chỉ cần đáp_án .,"giảng viên chưa cho bài tập về nhà để sinh viên làm nên cho 5 bài mỗi chương , không cần chữa chỉ cần đáp án ."
"mà hiện tại trường ta chưa có , đây là thiệt thòi lớn đối với tụi em .",0,1,mà hiện_tại trường ta chưa có đây là thiệt_thòi lớn đối_với tụi em .,"mà hiện tại trường ta chưa có , đây là thiệt thòi lớn đối với tụi em ."
tôi cảm thấy giảng viên dạy rất tốt .,2,0,tôi cảm_thấy giảng_viên dạy rất tốt .,tôi cảm thấy giảng viên dạy rất tốt .
"không biết thầy nào dạy chính thức , mà học thường nghỉ không thông báo trước để sinh viên đứng chờ sắp hết tiết rồi tự về nhiều lần .",0,0,không biết thầy nào dạy chính_thức mà học thường nghỉ không thông_báo trước để sinh_viên đứng chờ sắp hết_tiết rồi tự về nhiều lần .,"không biết thầy nào dạy chính thức , mà học thường nghỉ không thông báo trước để sinh viên đứng chờ sắp hết tiết rồi tự về nhiều lần ."
cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn .,0,3,cần có sự tương_tác giữa giảng_viên và sinh_viên nhiều hơn .,cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn .
giảng viên thân thiện nhiệt tình cởi mở .,2,0,giảng_viên thân_thiện nhiệt_tình cởi_mở .,giảng viên thân thiện nhiệt tình cởi mở .
"giáo viên có mời các công ty về trình bày , giúp sinh viên cập nhật kiến thức thực tiễn .",2,0,giáo_viên có mời các công_ty về trình_bày giúp sinh_viên cập_nhật kiến_thức thực_tiễn .,"giáo viên có mời các công ty về trình bày , giúp sinh viên cập nhật kiến thức thực tiễn ."
coi lại thái độ giảng viên thực hành .,0,0,coi lại thái_độ giảng_viên thực_hành .,coi lại thái độ giảng viên thực hành .
"giảng viên nhiệt tình , giải nhiều bài tập .",2,0,giảng_viên nhiệt_tình giải nhiều bài_tập .,"giảng viên nhiệt tình , giải nhiều bài tập ."
bài giảng của thầy rất nhiệt tình .,2,0,bài giảng của thầy rất nhiệt_tình .,bài giảng của thầy rất nhiệt tình .
"môn học chưa thực tiễn , chưa thu hút sinh viên .",0,1,môn_học chưa thực_tiễn chưa thu_hút sinh_viên .,"môn học chưa thực tiễn , chưa thu hút sinh viên ."
dạy hơi nhanh !,0,0,dạy hơi nhanh !,dạy hơi nhanh !
ít làm bài tập .,0,1,ít làm bài_tập .,ít làm bài tập .
"giảng bài kém thu hút , vị trí đứng giảng không hợp lý , ôn tập cuối kỳ còn chưa tập trung vào vấn đề .",0,0,giảng bài kém thu_hút vị_trí đứng giảng không hợp_lý ôn_tập cuối kỳ còn chưa tập_trung vào vấn_đề .,"giảng bài kém thu hút , vị trí đứng giảng không hợp lý , ôn tập cuối kỳ còn chưa tập trung vào vấn đề ."
"giảng viên nhiệt tình , bài giảng thu hút .",2,0,giảng_viên nhiệt_tình bài giảng thu_hút .,"giảng viên nhiệt tình , bài giảng thu hút ."
"nhờ thầy và giảng viên lý thuyết , em đã hiểu rõ về môn này rất nhiều !",2,0,nhờ thầy và giảng_viên lý_thuyết em đã hiểu rõ về môn này rất nhiều !,"nhờ thầy và giảng viên lý thuyết , em đã hiểu rõ về môn này rất nhiều !"
môn này khá trừu tượng nên mong thầy có nhiều liên tưởng tới thực tiễn hơn để chúng em có thể hiểu .,0,1,môn này khá trừu_tượng nên mong thầy có nhiều liên_tưởng tới thực_tiễn hơn để chúng_em có_thể hiểu .,môn này khá trừu tượng nên mong thầy có nhiều liên tưởng tới thực tiễn hơn để chúng em có thể hiểu .
cần thêm nhiều tài liệu cho sinh viên .,0,1,cần thêm nhiều tài_liệu cho sinh_viên .,cần thêm nhiều tài liệu cho sinh viên .
bài tập trên lớp .,1,1,bài_tập trên lớp .,bài tập trên lớp .
tăng số tiết dạy lên để sinh viên có nhiều cơ hội hỏi đáp thắc mắc về môn học .,0,1,tăng số tiết dạy lên để sinh_viên có nhiều cơ_hội hỏi_đáp thắc_mắc về môn_học .,tăng số tiết dạy lên để sinh viên có nhiều cơ hội hỏi đáp thắc mắc về môn học .
thầy nhiệt tình dễ hiểu .,2,0,thầy nhiệt_tình dễ hiểu .,thầy nhiệt tình dễ hiểu .
thực hành và lý thuyết nên dạy song song .,0,1,thực_hành và lý_thuyết nên dạy song .,thực hành và lý thuyết nên dạy song song .
giảng viên dạy nhanh .,0,0,giảng_viên dạy nhanh .,giảng viên dạy nhanh .
bài tập trên lớp nên được giới thiệu ngay từ đầu tiết học để học sinh không tốn thời gian đọc đề cũng như có thể suy nghĩ cách giải cùng lúc với việc nghe giảng .,0,1,bài_tập trên lớp nên được giới_thiệu ngay từ đầu tiết_học để học_sinh không tốn thời_gian đọc đề cũng như có_thể suy_nghĩ cách giải cùng lúc với việc nghe giảng .,bài tập trên lớp nên được giới thiệu ngay từ đầu tiết học để học sinh không tốn thời gian đọc đề cũng như có thể suy nghĩ cách giải cùng lúc với việc nghe giảng .
giảng viên cho bài tập hay .,2,0,giảng_viên cho bài_tập hay .,giảng viên cho bài tập hay .
cập nhật bài tập mới .,0,1,cập_nhật bài_tập mới .,cập nhật bài tập mới .
"lên lớp ai làm việc người ấy , thầy không có giảng gì thêm .",0,0,lên lớp ai làm_việc người ấy thầy không có giảng gì thêm .,"lên lớp ai làm việc người ấy , thầy không có giảng gì thêm ."
"tận tâm , nhiệt tình , quan tâm đến sinh viên .",2,0,tận tâm_nhiệt_tình quan_tâm đến sinh_viên .,"tận tâm , nhiệt tình , quan tâm đến sinh viên ."
phản hồi giải đáp thắc mắc cho sinh viên .,2,0,phản_hồi giải_đáp thắc_mắc cho sinh_viên .,phản hồi giải đáp thắc mắc cho sinh viên .
